0.954	1.33	7.27
1.033	1.17	6.71
1.127	1.02	6.13
1.24	8.86E-01	5.55
1.305	8.17E-01	5.25
1.378	7.57E-01	4.95
1.459	6.99E-01	4.64
1.57	6.15E-01	4.27
1.59	5.93E-01	4.2
1.61	5.80E-01	4.13
1.632	5.68E-01	4.06
1.653	5.57E-01	3.99
1.676	5.47E-01	3.92
1.699	5.38E-01	3.85
1.722	5.28E-01	3.78
1.746	5.17E-01	3.71
1.771	5.13E-01	3.64
1.797	5.09E-01	3.58
1.824	4.93E-01	3.51
1.851	4.86E-01	3.44
1.879	4.77E-01	3.36
1.908	4.69E-01	3.29
1.937	4.63E-01	3.22
1.968	4.56E-01	3.14
2	4.51E-01	3.07
2.033	4.46E-01	2.99
2.067	4.39E-01	2.92
2.102	4.32E-01	2.84
2.138	4.26E-01	2.76
2.175	4.23E-01	2.68
2.214	4.28E-01	2.6
2.255	4.23E-01	2.52
2.296	4.19E-01	2.44
2.34	4.21E-01	2.35
2.385	4.20E-01	2.27
2.431	4.23E-01	2.18
2.48	4.28E-01	2.09
2.531	4.35E-01	1.99
2.583	4.44E-01	1.9
2.638	4.55E-01	1.8
2.696	4.84E-01	1.69
2.756	4.97E-01	1.59
2.818	5.17E-01	1.48
2.884	5.45E-01	1.36
2.952	5.85E-01	1.24
3.024	6.35E-01	1.12
3.1	7.06E-01	9.76E-01
3.179	8.23E-01	8.55E-01
3.263	9.20E-01	7.60E-01
3.351	1.04	6.68E-01
3.444	1.17	6.19E-01
3.543	1.29	5.99E-01
3.647	1.41	5.99E-01
3.758	1.52	6.32E-01
3.875	1.6	6.48E-01
4	1.7	6.69E-01
4.133	1.79	7.13E-01
4.276	1.86	7.60E-01
4.429	1.93	8.22E-01
4.593	1.99	8.90E-01
4.769	2.04	9.66E-01
4.96	2.07	1.07
5.167	2.08	1.19
5.391	2.04	1.28
5.999	1.85	1.43
7.002	1.54	1.58
8	1.82	1.35
8.999	1.57	1.43
10	1.35	1.49
11	1.02	1.47
12	7.52E-01	1.33
14	5.95E-01	9.24E-01
16	7.97E-01	6.59E-01
18	8.27E-01	6.95E-01
20	6.90E-01	6.52E-01
22	5.80E-01	4.31E-01
24	5.66E-01	2.65E-01
26	6.60E-01	1.89E-01
28	7.21E-01	1.39E-01
30	8.47E-01	3.35E-01
