0.42	1.57	16.5
0.46	1.46	14.9
0.5	1.37	13.5
0.54	1.35	12.4
0.58	1.34	11.3
0.62	1.38	10.4
0.66	1.43	9.67
0.7	1.48	8.99
0.74	1.52	8.38
0.78	1.6	7.83
0.82	1.64	7.35
0.86	1.7	6.9
0.9	1.74	6.48
1	1.94	5.58
1.1	2.16	4.85
1.2	2.44	4.22
1.3	2.77	3.74
1.4	3.15	3.4
1.5	3.53	3.3
1.6	3.77	3.41
1.7	3.84	3.51
1.8	3.81	3.58
1.9	3.74	3.58
2	3.68	3.52
2.1	3.68	3.45
2.2	3.76	3.41
2.3	3.79	3.61
2.4	3.59	3.78
2.5	3.36	3.73
2.6	3.22	3.61
2.7	3.13	3.51
2.8	3.08	3.42
2.9	3.05	3.33
3	3.04	3.27
3.1	3.03	3.22
3.2	3.05	3.18
3.3	3.06	3.18
3.4	3.06	3.19
3.5	3.06	3.21
3.6	3.05	3.24
3.7	3.04	3.27
3.8	3.04	3.31
3.9	3.04	3.4
4	3.01	3.51
4.1	2.91	3.67
4.2	2.77	3.77
4.3	2.59	3.86
4.4	2.39	3.88
4.5	2.21	3.87
4.6	2.06	3.84
4.7	1.9	3.81
4.8	1.75	3.76
4.9	1.61	3.7
5	1.46	3.62
5.1	1.33	3.53
5.2	1.22	3.42
5.3	1.13	3.31
5.4	1.06	3.2
5.5	1	3.09
5.6	0.959	2.99
5.7	0.924	2.89
5.8	0.895	2.8
5.9	0.873	2.72
6	0.85	2.64
6.1	0.836	2.57
6.2	0.813	2.5
6.3	0.798	2.43
6.4	0.789	2.36
6.5	0.783	2.3
6.6	0.779	2.24
6.7	0.777	2.18
6.8	0.784	2.12
6.9	0.791	2.08
7	0.798	2.04
7.1	0.808	2
7.2	0.813	1.98
7.3	0.816	1.96
7.4	0.808	1.95
7.5	0.781	1.93
7.6	0.745	1.9
7.7	0.726	1.85
7.8	0.711	1.81
7.9	0.697	1.77
8	0.685	1.73
8.2	0.672	1.65
8.4	0.659	1.57
8.6	0.649	1.49
8.8	0.647	1.41
9	0.652	1.33
9.2	0.67	1.25
9.4	0.685	1.19
9.6	0.707	1.12
9.8	0.735	1.05
10	0.77	0.987
10.2	0.812	0.93
10.4	0.859	0.881
10.6	0.909	0.835
10.8	0.977	0.791
11	1.05	0.774
11.2	1.12	0.782
11.4	1.18	0.802
11.6	1.23	0.845
11.8	1.25	0.886
12	1.26	0.921
12.2	1.26	0.953
12.4	1.25	0.975
12.6	1.24	0.993
12.8	1.23	1.01
13	1.21	1.02
13.2	1.2	1.03
13.4	1.18	1.02
13.6	1.17	1.02
13.8	1.15	1.02
14	1.15	1.01
14.2	1.14	1.01
14.4	1.13	0.997
14.6	1.13	0.99
14.8	1.14	0.987
15	1.14	0.987
15.2	1.14	0.989
15.4	1.15	0.994
15.6	1.15	1.01
15.8	1.15	1.02
16	1.14	1.04
16.2	1.13	1.06
16.4	1.12	1.08
16.6	1.1	1.1
16.8	1.07	1.11
17	1.04	1.12
17.2	1.01	1.13
17.4	0.978	1.14
17.6	0.94	1.14
17.8	0.903	1.13
18	0.866	1.12
18.2	0.833	1.11
18.4	0.799	1.1
18.6	0.766	1.08
18.8	0.737	1.05
19	0.712	1.02
19.2	0.691	0.996
19.4	0.674	0.968
19.6	0.66	0.94
19.8	0.648	0.913
20	0.639	0.887
20.2	0.632	0.862
20.4	0.626	0.838
20.6	0.621	0.815
20.8	0.616	0.794
21	0.612	0.773
21.2	0.61	0.752
21.4	0.609	0.733
21.6	0.608	0.715
21.8	0.607	0.7
