0.099987	13.2	44.7
0.13	9.91	36.7
0.14999	8.18	31.2
0.17	6.78	27.2
0.20001	5.9	24
0.21999	5.24	21.5
0.25002	4.7	19.4
0.28	4.24	17.7
0.29999	3.92	16.2
0.31996	3.57	14.9
0.35004	3.28	13.7
0.37997	3.03	12.5
0.39995	2.81	11.4
0.43005	2.92	10.3
0.45003	3.03	9.31
0.46999	3.36	8.4
0.50503	3.91	7.71
0.52007	4.3	7.4
0.55006	4.58	7.14
0.57004	4.86	6.89
0.60012	5.13	6.75
0.63	5.34	6.7
0.65015	5.52	6.66
0.68011	5.66	6.73
0.70008	5.71	6.83
0.73018	5.67	6.95
0.75006	5.57	7.02
0.77009	5.44	7.04
0.7999	5.31	7.04
0.82	5.17	7.01
0.84979	5.05	6.98
0.87994	4.91	6.95
0.89974	4.77	6.91
0.95007	4.5	6.77
0.99987	4.25	6.62
1.0498	4.03	6.44
1.1001	3.86	6.24
1.1501	3.7	6.08
1.2002	3.55	5.92
1.3	3.29	5.61
1.4	3.1	5.32
1.5001	2.92	5.07
1.6	2.76	4.84
1.7	2.63	4.63
1.8	2.51	4.43
1.9001	2.38	4.26
2.0001	2.3	4.07
2.1	2.23	3.92
2.1999	2.17	3.77
2.3003	2.1	3.67
2.4	2.03	3.54
2.5002	1.96	3.42
2.5998	1.91	3.3
2.7	1.87	3.2
2.8	1.83	3.1
2.9002	1.79	3.01
2.9999	1.75	2.92
3.1004	1.72	2.84
3.2004	1.68	2.76
3.3001	1.65	2.69
3.3996	1.62	2.62
3.5004	1.6	2.55
3.6	1.58	2.48
3.6999	1.56	2.42
3.7997	1.53	2.37
3.9001	1.51	2.32
3.9995	1.49	2.25
4.2	1.45	2.14
4.3997	1.43	2.04
4.6005	1.39	1.95
4.8	1.38	1.85
4.9994	1.36	1.76
5.2007	1.36	1.67
5.4	1.36	1.61
5.6	1.36	1.54
5.7991	1.36	1.47
5.9012	1.37	1.43
6.0012	1.38	1.4
6.048	1.19	1.4
6.0986	1.38	1.37
6.1992	1.39	1.35
6.3582	1.3	1.29
6.5255	1.34	1.26
6.7018	1.38	1.24
6.888	1.42	1.23
7.0848	1.46	1.23
7.2932	1.49	1.22
7.5142	1.48	1.21
7.749	1.46	1.22
7.999	1.46	1.16
8.2656	1.47	1.15
8.3773	1.47	1.15
8.4921	1.47	1.15
8.61	1.46	1.15
8.7313	1.46	1.15
8.856	1.45	1.15
8.9844	1.43	1.14
9.1165	1.43	1.14
9.2526	1.43	1.15
9.3927	1.43	1.15
9.5372	1.43	1.16
9.6863	1.42	1.17
9.84	1.4	1.17
9.9987	1.37	1.18
10.163	1.35	1.18
10.332	1.32	1.17
10.507	1.3	1.15
10.688	1.28	1.13
10.876	1.27	1.11
11.07	1.25	1.09
11.271	1.24	1.07
11.48	1.24	1.05
11.697	1.23	1.04
11.922	1.22	1.02
12.155	1.22	1.01
12.398	1.19	0.981
12.651	1.17	0.957
12.915	1.19	0.942
13.19	1.2	0.93
13.477	1.18	0.919
13.776	1.16	0.912
14.089	1.14	0.903
14.417	1.12	0.899
14.76	1.1	0.891
15.12	1.09	0.878
15.498	1.08	0.866
15.895	1.07	0.85
16.314	1.06	0.835
16.755	1.05	0.817
17.22	1.04	0.809
17.712	1.03	0.826
17.969	1.02	0.837
18.233	1.01	0.856
18.505	0.993	0.869
18.785	0.975	0.884
19.074	0.957	0.9
19.373	0.937	0.915
19.68	0.914	0.924
19.997	0.887	0.93
20.325	0.862	0.937
20.664	0.835	0.938
21.014	0.812	0.935
21.377	0.792	0.924
21.752	0.763	0.905
22.14	0.744	0.887
22.543	0.729	0.867
22.96	0.72	0.845
23.393	0.713	0.826
23.843	0.711	0.797
24.311	0.709	0.766
