4.13333333333333	1.552770264    0
3.85093167701863	1.545869929    0
3.60465116279070	1.540446687    0
3.38797814207650	1.536090528    0
3.19587628865979	1.532527732    0
3.02439024390244	1.529568767    0
2.87037037037037	1.527078429    0
2.73127753303965	1.524957846    0
2.60504201680672	1.523133174    0
2.48995983935743	1.521548253    0
2.38461538461538	1.520159688    0
2.28782287822878	1.518933478    0
2.19858156028369	1.517842648    0
2.11604095563140	1.516865557    0
2.03947368421053	1.515984669    0
1.96825396825397	1.515185645    0
1.90184049079755	1.51445666     0
1.83976261127596	1.51378789     0
1.78160919540230	1.513171112    0
1.72701949860724	1.512599402    0
1.67567567567568	1.512066895    0
1.62729658792651	1.51156859     0
1.58163265306122	1.511100206    0
1.53846153846154	1.510658057    0
1.49758454106280	1.510238956    0
1.45882352941176	1.509840135    0
1.42201834862385	1.50945918     0
1.38702460850112	1.509093978    0
1.35371179039301	1.508742673    0
1.32196162046908	1.508403627    0
1.29166666666667	1.508075392    0
1.26272912423625	1.507756683    0
1.23505976095618	1.507446357    0
1.20857699805068	1.507143392    0
1.18320610687023	1.506846874    0
1.15887850467290	1.506555982    0
1.13553113553114	1.506269979    0
1.11310592459605	1.505988198    0
1.09154929577465	1.505710037    0
1.07081174438687	1.50543495     0
1.05084745762712	1.505162442    0
1.03161397670549	1.50489206     0
1.01307189542484	1.504623394    0
0.995184590690209	1.504356065    0
0.977917981072555	1.50408973     0
0.961240310077519	1.503824072    0
0.945121951219512	1.503558798    0
0.929535232383808	1.503293642    0
0.914454277286136	1.503028354    0
0.899854862119013	1.502762706    0
0.885714285714286	1.502496485    0
0.872011251758087	1.502229493    0
0.858725761772853	1.501961547    0
0.845839017735334	1.501692477    0
0.833333333333333	1.501422121    0
0.821192052980132	1.501150331    0
0.809399477806789	1.500876967    0
0.797940797940798	1.500601898    0
0.786802030456853	1.500324999    0
